text;section
1. Бгъа-жь-ра перех. пустить кого, что-л. с возвышения ипиз, Ачв тлачауа й-бгъа-р-жь-х-Т ахТамамла. А. тш., 29. ини пустили вниз, в сторону бани, захромавшего вола.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
2. Бжьа-жь-ра перех. пустить кого, что-л. между чем-то, Алшква апсыхТва й-бжьа-ры-жь-1Т. АРС, 118. Они пустили чошадей в ущелье (между горами, возвышениями).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
3. Гара-жь-ра перех. пустить в люльку (ребенка). Асв- би дчГвыуа даналага д-гара-л-жь-х-тТ. Т. Т. Когда ребенок начал плакать, она его пустила в люльку.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
4. А-гы-жь-ра перех. лишить кого, что-л. кого-то, чего- то. Ауи зактьи Игрымыжьхуата (й-й-г-ры-мы-жь-х-уа-та) ддырчат[-ддрыжвт!. Джьандра, 165. Они его, ничего не лишая, накормили, напоили. Алах! акъыль умгыймыжьт] {й-уг-ый-мы-жь-т, сычвын. Садтьыл, 140. Пусть аллах не лишит тебя разума, сын мой.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
5. Гвара-жь-ра перех. пустить кого, что-л. во двор. Ажв- ква гварарыжьхт! (й-гвара-ры-жь-х-тТ). АРС, 132. Они ко- ров пустили во двор.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
6. Гвы-квы-жь-ра перех. напускать (на сердце пустить) кого, что-л. на кого, что-н. Ауи й-та-й-гвы-квы-з-жь-уан ишитантьи. А. тш., 74. На него я напускал и шайтана.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
7. Гвы-ла-жь-ра перех. пустить кого, что-л. в середину (в сердце) кого, чего-то. Арахв ачвахырта Й-а-гвы-ла-й- жьыьн йартьи дычвхт!Г. Аб. Т. Он скот пустил в середи- му сенокосного угодия и заснул.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
8. Гвы-цТа-жь-ра перех. АРС, 140. Причинить кому-л. боль (пустить что-то в сердце). Ахъац]а дандыргвыжвкТ цТабырг райхв ныжьхта й-р-гвы-цТа-йы-жь-тГ. Т. Т. Ког- да мужчину разозлили, он не только правду им сказал, но и причинил им боль (пустил им в сердце).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
9. А-гъра-жь-ра перех. пустить кого, что-л. в середину {внутренности кого-то, чего-то. Дымгвжважвауа бзи-бзи ахъвшв ажв Й-а-гъра-нь-жь-тЕ. Аб. Т. Он, не торопясь, хо- рошо ввел (впустил) лекарство в корову.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
10. ГЛа-жьы-л-ра перех. пустить кого-л. в помещение {в сторону говорящего). КЛара йгвыгЪъазтын арахь ажьира д-Ма-жи-жьы-л-лТ. Аб. Т. Если он что-то задумал, вы его пропустите сюда в кузницу.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
11. ГТвна-жь-ра перех. пустить кого, что-л. в дом. Ари азаджв хТыунаМва д-твна-жь. Ком., 26.\.1986, 8. Этого одного ты пусти в наш дом. .;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
12. ТЛвна-жь-ра перех. оставлять кого, что-л. в доме, Атдзыжв хПТагвналыжьуанта  (хГ-Та-а-Твна-лы-жь-уан- та) ащажь апхъа аферма дыГвуан. Адгьыл, 153. Она нас оставляла в старом доме и до рассвета уходила на ферму.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
13. А-д-жьы-л-ра перех. оставлять кого, что-л. рядом с кем-то, чем-то. Аджв-Твыджь арахв й-гТа-р-ы-д-и-жьы- л-уан. Адгьыл, 8. Он одного двух оставлял со скотом (ря- дом).;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
14. Джвы-квы-жь-ра перех. отправлять туда. АпхШвыс бзи лхъаШа хьадъа д-ть-джвы-квы-л-жь-уа-м. АПА, 50. Хорошая женщина не отправляет своего мужа без прови- зии.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
15. А-дз-хъа-жь-ра перех. АРС, 39. Оставлять кого, что-л. рядом с кем, чем-л. Йрымез зымгШва гТасыдзхъар- жьын (й-га-с-ы-дз-хъа-р-жьы-н) йджвыквылхт1. Аб. Т. Они ушли (отправились), оставив со мной все, что было у них.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
16. А-квы-жь-ра перех. пустить кого, что-л. по поверх- ности чего-то. Уара с-ы-з-кв-у-жьы-з амгва иТхъва гьам- чпастР. Атахв, 34. Дорога, по которой ты меня пустил, еще не имеет конца.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
17. А-квы-жь-ра перех. оставлять кого, что-л. ма чем- то. АщвыШв выс аурам  дТаквыжь (д-Ма-а-квыжь) Игьауашым. Скыт, 159. Человека нельзя оставлять на улице.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
18. А-ква-цЛа-жь-ра перех. отправлять кого-л. побро- кить. Ачвыи сара детахъыйТ, дара д-а-ква-иГа-ры-жь-тГ. Аб. Т. Парень мне нужен, а они его отправили гулять.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
19. КЛа-жь-ра перех. валить, повалить кого, что-л. вниз. Анахъани атшыгв дахысын Идрис  д-Ма-кТа-йы-жь-Т. Нышв, 153. Тот всадник выстрелил и повалил Идриса.;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
20. КЛы-дэжььел-ра перех. пустить кого-л. на косогор. АхТвараква акТадза й-кТы-ды-р-жьы-л-тГ. Аб. Т. Они телят отпустили на косогор,;1. ПРЕВЕРБЫ+СУФФИКСОИД жь
"21. КТы-ла-жь-ра перех. пустить кого, что-л. в отверс- тие, в полое место. АхвымбырцакТьаква ащхаква амартан з""НтхТара й-ть-кТы-ла-р-мы-жь-х-уазт!. Аб, Т. Муравьи не ""ускали пчел в отверстие.";1. ПРЕВЕРБЫ+СУФФИКСОИД жь
